Original Text,Language,Translated Text
Pia siku za usoni mkumbuke kumotivate watu fairly..,sw,Also in the near future will remember the fairly people.
Done,en,Done
✋ done,en,✋ done
"Good morning everyone , hope you are all doing great this morning, Tuhakikishe tume submit test by leo saa kumi jioni . Ukipatana na tatizo lolote kwenye test unaweza uliza .",sw,"Good Morning Everyone, Hope You are All Doing Great This Morning, Let's Make Commission Submit Test by Today at ten o'clock. If you get any problem on the test you can ask."
Ok thanks Alice,en,Ok thanks Alice
"Good morning everyone, hope you are all doing great",en,"Good morning everyone, hope you are all doing great"
Morning too,en,Morning too
Good morning Alice. I'm doing well,en,Good morning Alice. I'm doing well
mrng my phn has mathina so was requesting cn those question be send thro sms pliz,en,mrng my phn has mathina so was requesting cn those question be send thro sms pliz
"Morning jecinta, will sent sms version on 4th and 5th",en,"Morning jecinta, will sent sms version on 4th and 5th"
*_Leo ningependa uniambie ni mambo gani (4) ambayo umebadilisha ulivyokua ukiyafanya kutokana na masomo yetu ya mSPARK tangu yaanze?_*,sw,* _Leo I would like to tell me what (4) which you have changed what you have been doing from our Mspark studies since yanzaze? _ *
sawa,sw,straight
@254707350008 @254714359742 @254707350008 @254719790185 @254701180800 @254726909529 @254729265200 @254721382228 @254712952005 @254792172591 @254722633754,und,@254707350008 @254714359742 @254707350008 @254719790185 @254701180800 @254726909529 @254729265200 @254721382228 @254712952005 @254792172591 @254722633754
I have learnt 1. Keeping proper records 2. Separating business and personal account. 3. Merchandising skills. 4. The 4 P's,en,I have learnt 1. Keeping proper records 2. Separating business and personal account. 3. Merchandising skills. 4. The 4 P's
"I have learnt (1) about separate account business and personal account and already practice. (2)i have improved by writing those owes money by writing immediately. (3)improved in daily sales record, daily personal expenses record, dairy business expenses, etc. (4)about borrowing business money, about formal and informal, and collateral and having confident in ability to repay, now waiting mSPARK to give having confident to repay within a given period.",en,"I have learnt (1) about separate account business and personal account and already practice. (2)i have improved by writing those owes money by writing immediately. (3)improved in daily sales record, daily personal expenses record, dairy business expenses, etc. (4)about borrowing business money, about formal and informal, and collateral and having confident in ability to repay, now waiting mSPARK to give having confident to repay within a given period."
"Paul, good summary ......",en,"Paul, good summary ......"
👍nice,en,👍nice
Merchandising Record keeping Upgrade my hygiene Welcome the customers ad offers to some Items,en,Merchandising Record keeping Upgrade my hygiene Welcome the customers ad offers to some Items
<Media omitted>,en,<Media omitted>
<Media omitted>,en,<Media omitted>
<Media omitted>,en,<Media omitted>
"Good morning hope mnaendelea vizuri, Wengine wenu hawakujibu maswali kwa hivyo nita post maswali tena. kwa wale hawakufanya link will expire saa kumi leo jioni. Make sure you have submitted your test niya muhimu sana",sw,"Good Morning Hope keep well, some of you did not answer questions so I will post questions again. For those did not make Link Will Expire at ten tuesday evening. Make Sure You Have Submitted Your Test Nya Very important"
https://forms.gle/LPonKsbgQ1GEuexk7 Post-Training Knowledge Check for Module 2 in English,en,https://forms.gle/LPonKsbgQ1GEuexk7 Post-Training Knowledge Check for Module 2 in English
https://forms.gle/uV1CZPZKWoEp2ZhM9 Post-Training Knowledge Check for Module 2 in Kiswahili,en,https://forms.gle/uV1CZPZKWoEp2ZhM9 Post-Training Knowledge Check for Module 2 in Kiswahili
05-May,en,05-May
"Good morning everyone, natumai mko salama",sw,"Good Morning Everyone, I hope you are safe"
<Media omitted>,en,<Media omitted>
Morning alice,en,Morning alice
Morning,en,Morning
👍,und,👍
Alice wengine wetu tumesahulika ama,sw,Alice some of us have gone either
Ju mm hadi said nawait maswali,sw,Ju mm to said nawait questions
<Media omitted>,en,<Media omitted>
<Media omitted>,en,<Media omitted>
"Good morning everyone , hope mko salama na mnaendelea vizuri na biashara zenu. Leo tutaangazia kuhusu leseni ya biashara *Liseni ya Biashara* Liseni ya biashara ni document ambayo Inaonyesha kwamba ume register biashara yako na ukona ruhusa ya kiselikali ya kufanya biashara yako pale unapofanyia. Katika serikali ya County kuna liseni tofauti, kuna zile unazolipia *mara moja kwa mwaka* na kuna zile unazolipia *kila siku*. Hizi unalipa kwa mfano Ksh. 20 zile siku unazotumia facility za kanjo kama soko. Unapopanga kufungua biashara, unafaa kuwaza kuhusu kupata liseni. Why Do I Need a Business License? Licenses help ensure that businesses are safe for the public. Restaurants should be clean. Lawyers and doctors should be professional and accountable. New drugs should be safe and effective. You can sometimes tell when a restaurant is not sufficiently clean. The dishes may be dirty, or the staff may be careless. You cannot be certain of its safety, short of breezing into the kitchen and testing the cooler and the burners. Benefits of Registering your Business *1.Establishing Business Bank Accounts* _You need to provide proof that your business is a properly registered business with the state to open a business bank account._ *2.Getting Loans* _When you apply for small business loans, you're going to have to prove that you're actually a business._ *3.Taxes And Liability* _This establishes that the business is paying taxes_ *4.Reputation With Customers* _Establishing consumer trust highlights the importance of registering a business._ *5.Supplier Arrangements* _A registered business also makes you eligible to receive supplier discounts that you wouldn't normally receive as an unregistered operation._ Kulingana na regulations za County, last year serikali ilitupea Msamaha wa kulipa licenses (liseni). Challenges za kukosa kulipa liseni ni gani? Ama unapokosa kulipa kanjo unapata challenge zipi",sw,"Good Morning Everyone, Hope you are safe and keep well with your business. Today we will focus on business license * Lease of business * Lease of business is a document that shows that you have register your business and unauthorized Permissions to do your business where you do. In the County government is different, there are those you pay * once a year * and there are those you pay * daily *. These pay for example Ksh. 20 those days you use the Facility of Kanjo as a market. When you plan to open a business, you should think about getting lisen. WHY DO I NEED A BUSINESS LICENSE? LICENSES HELP ESURE THAT BUSINESS ARE SAFE FOR THE PUBLIC. RESTAURANTS SHOULD BE CLEAN. Lawyers and Doctors Should Be Professional and Accountable. New Drugs Should Be Safe and Effective. YOU CAN SOMETIMES TELL WHEN A RESTAURANT IS NOT SUFFICIENTLY CLEAN. The Dishes May Be Dirty, or the Staff May Be Careless. You Cannot Be Certain Of Its Safety, Short of Breezing Into The Kitchen And Testing The Cooler And The Burners. BENFITS OF REGISTERING YOUR Business * 1.Establishing Business Bank Account * _you Need To Provide Proof That Your Business Is A PropERLY Registered Business With The State To Open a Business Bank Account._ * 2.Getting Loans * _When You Apply For Small Business Loans A, you're going to have to prove that you're actually a business. ._ * 5.Supplier arrangements * _A registered Business ALSO MAKES YOU ELIGIBLE TO RECEIVE SUPPLIER DISCOUSTS THAT YOU WOULDN'T NORMALY RECEIVE AS AN UNREGISTERED OPERATION._ According to the Regulations of County, Last Year the government led us forgiveness of Licenses (Liseni). What is the missing Challenges to pay? Either when you miss paying kanjo you find what challenge"
Asanti,bn,Asanti
Please Alice when am I getting the loan or I'm a forgotten person?,en,Please Alice when am I getting the loan or I'm a forgotten person?
<Media omitted>,en,<Media omitted>
<Media omitted>,en,<Media omitted>
<Media omitted>,en,<Media omitted>
<Media omitted>,en,<Media omitted>
<Media omitted>,en,<Media omitted>
"Hi Peter, am aware you haven't received the loan, kindly be patient hujasahaulika",en,"Hi Peter, am aware you haven't received the loan, kindly be patient hujasahaulika"
Waithera kweni simu yako imegojeka malaria?,ny,Waithera kweni simu yako imegojeka malaria?
😆😆,und,😆😆
Saniteltabby 😂😂😂😂watoto aki,sw,Saniteltabby 😂😂😂😂watoto Aki.
Aki wamejaribu,sw,Aki have tried
Challenge when not paid license u often get closed immediately when u heard a rumourmongers saying County is arresting those not paid u can even remain closed the whole day.,en,Challenge when not paid license u often get closed immediately when u heard a rumourmongers saying County is arresting those not paid u can even remain closed the whole day.
Saniteltabby nisaidie pay bill number plzz,sw,SANITELTABBY I Help Pay Bill Number Plzz
"without license you get in trouble with county official because when they come and find out that you haven't paid, they sometime take yr stock or the owner of the business ad this will make u close yr shop, another thing most of the supply have confidence in you when giving you good credit, also when applying a loan eg in a bank they can't give u, if you don't have a current license for them to confirm you are really in business",en,"without license you get in trouble with county official because when they come and find out that you haven't paid, they sometime take yr stock or the owner of the business ad this will make u close yr shop, another thing most of the supply have confidence in you when giving you good credit, also when applying a loan eg in a bank they can't give u, if you don't have a current license for them to confirm you are really in business"
<Media omitted>,en,<Media omitted>
Good morning everyone,en,Good morning everyone
"*HUU NI MWONGOZO WA JINSI YA KULIPA MKOPO WAKO WA MSPARK* 1. *Mkopo unalipwa ndani ya miezi miwili(siku 60) baada ya Disbursement.* 2. *Lipa mkopo wako in installments ili kuepuka kulipa kiwango kikubwa siku ya mwisho*. Hii ni kwa sababu kutoa kiwango kikubwa cha pesa kutoka kwa biashara yako itaathiri biashara yako, na ukweli ni kwamba huwezi kuwa na kiasi chote kwenye kipindi cha mwisho . 3. *Kuwa na mpango wa malipo, gawa mkopo unaopokea kwa siku 60 na uone ni kiasi gani unaweza kulipa kwa siku.* *Mifano* *1.* *Jinsi ya kulipa mkopo wako in installments za kila siku* Kama ni kiasi cha mkopo cha Ksh 18000, gawa hicho kiwango kwa idadi ya siku. (Siku 60 ambazo ni sawa na miezi miwili)(18000÷60)=300 Kupitia mpango huu unaweza kuwa unalipa Ksh 300 kwa kila siku. *2.* *Jinsi ya kulipa mkopo wako kwa installments za kila wiki.* Kama ulipokea kiasi cha mkopo cha Ksh 18000, gawa hicho kiwango kwa idadi ya wiki. (Wiki 8 ambazo ni sawa na miezi miwili) (18000÷8)= 2250 Kupitia hii mbinu unaweza kuwa unalipa Ksh 2250 kwa kila week. *Lipa kupitiaMpesa* *Paybill 4027143* *Acc: Namba yako ya simu*",sw,"* This is a guide to how to pay your Mspark loan * 1. * The loan is paid within two months (60 days) after the disburseement. * 2. * Pay your loan in installments to avoid paying a large scale last day *. This is because giving a large amount of money from your business will affect your business, and the fact is that you can't have any amount in the last period. 3. * Have a payment plan, Divide the loan you receive for 60 days and see how much you can pay by day. * * Examples * * 1. * * How to pay your loan in daily installments * If it's loan amount The KSH 18000, the same standard for the number of days. (60 days that are equal to two months) (18000 ÷ 60) = 300 through this program can you pay 300 ksh per day. * 2. * * How to pay your loan for weekly installments. * If you received the loan amount of KSH 18000, this scale rate for the number of weeks. (8 weeks that are equal to two months) (18000 ÷ 8) = 2250 through this method you may have to pay Ksh 2250 per week. * Pay via * * Paybill 4027143 * * ACC: Your phone number *"
Paybill4027143 alafu ACC nor ya simu yako,sw,PAYBILL4027143 ACC ACC your phone
Good morning everyone,en,Good morning everyone
For you to keep your customers you need to...... 1. Creat a good friendship with your customers 2. Understand your customer's behaviors 3. You should observe how they buy 4. Should not talk to your customers in a disrespectful way 5. You should give your customers value for their money,en,For you to keep your customers you need to...... 1. Creat a good friendship with your customers 2. Understand your customer's behaviors 3. You should observe how they buy 4. Should not talk to your customers in a disrespectful way 5. You should give your customers value for their money
"*ASUBUHI NJEMA NYOTE* Asanteni Wote Kwa majibu yenu yenye ufahamu hapo jana ... nilikuwa nimeshikika kwenye mkutano kwa siku nzima na nitakuwa leo pia nimeshikana. Ukinihitaji tafadhali text ama DM kwa WhatsApp. Nitayatuma majibu yangu ya maswali yetu ya jana na ikiwa una maswali yoyote juu ya majadiliano hayo ama mada hiyo, tafadhali eleza hapa na nitakujibu baadae. Kuwa na siku NJEMA yenye baraka murwa katika biashara zenu. *Shalom*",sw,"* Good morning all of you * Thank you all for your understanding of yesterday ... I was heard at the meeting for the whole day and I will be today I have also been. If you need to please TEXT either DM to WhatsApp. I will send my answers to our last questions and if you have any questions about the discussion or the topic, please explain here and I will reply later. Have a blessing day blessed in your business. * Shalom *"
Asanti siku njema pia,sw,Asanti good day too
Swali langu ni mwenye amepata loan akilipa zote atapewa tena hera hizo,sw,My question is got the Loan all the powers will be given again that Hera
Rachael thanks for asking on behalf,en,Rachael thanks for asking on behalf
Yah,id,Yah
Good morning everyone,en,Good morning everyone
Morning,en,Morning
<Media omitted>,en,<Media omitted>
Morning too,en,Morning too
"Good morning everyone, Impulse buying is often influenced by the five human senses: what you see, hear, smell, touch and taste. These senses affect the buying decisions differently depending on the type of business Ununuzi wa ghafla bila mpango unasababishwa na zile hisi/fahamu tano za binadamu ambazo ni fahamu ya kuona, kusikia, kunusa, kushika na kuonja.",sw,"Good Morning Everyone, IMPULSE BUYING IS OFTEN INFLUENCED BY THE FIVE HUMAN SENSES: What You See, Hear, Smell, Touch and Taste. Thess Senses AFFECT THE BUYING DECISIONS DIFFERENTLY DEPLAIN ON THE TYPE OF BUSINESS purchasing suddenly without the program caused by the five senses / human consciousness that are conscious of seeing, hearing, smelling, keeping and tasting."
It also depend on what that impulse customer have at pocket to see come close touch n buy or alternatively see touch and plan to come for it later and make it.,en,It also depend on what that impulse customer have at pocket to see come close touch n buy or alternatively see touch and plan to come for it later and make it.
"Good morning everyone, hope you all doing great .",en,"Good morning everyone, hope you all doing great ."
"*Leo ningependa tujadili kuhusu vile tunavyo interact na wafanyikazi wetu. Kama wafanyabiahara najua kuna wengine wetu tumeajiri wafanyi kazi. Na kama hauja ajiri, najua ungependa Kuajiri unapozidi kukuza biashara yako.* _Ningependa kuskia kutoka kwako ni changamoto zipi unazopata kutoka kwa wale umeajiri._",sw,"* Today I would like to discuss what we have interact with our employees. As the pendants I know there are others we have hired workers. And if you haven't been hired, I know you would like to hire as you grow your business. *"
Who is present ......mmenyamaza sana,en,Who is present ......mmenyamaza sana
"Hae?.wafanyi kazi wanapaswa kushikwa vizuri,kuongeleshwa vizuri na pia kulipwa vizuri hashaa kipindi mlicho agana na kama mda umefika nahauna hera unamwambia mapema mfanyi kazi na sababu maalumu la sivyo mfanyi kazi anaweza kukuodokea akatafute namna ingine,ama azie kukuibia ili aweze kujingaramia ili ajilipe na pia wakati mwingine ataimba zaidi ya mshahala wake",sw,Hae? And also sometimes he will sing more than his finer
👋🏽,und,👋🏽
"Changamoto kubwa sana ni wizi wa *moja kwa moja* ama *kupitia Customers kwa mikopo* kwa jina la urafiki wafanyakazi wana kuwa ""marafiki wakuu "" na watenja wenye nia baya. Wafanyakazi wenye uzembe na maringo ,kuongelesha Watenja vibaya na kutojali mipangilio ya kazi.",sw,"The biggest challenge is the theft of * direct * either * through customers for credit * in the name of friendship workers have to be ""great friends"" and the most intentioned walkers. Employees of negligence and marines, talking wrong and neglect of work arrangements."
"Some time you get somebody not caring about your business provided she/he will get salary at the end, other will get more salary than owner and cause failure of the business.",en,"Some time you get somebody not caring about your business provided she/he will get salary at the end, other will get more salary than owner and cause failure of the business."
Some are ignorant to the customer and relate badly knowing even if they don't buy their salary is still there.,en,Some are ignorant to the customer and relate badly knowing even if they don't buy their salary is still there.
Others want to rule over you and it is your business.,en,Others want to rule over you and it is your business.
"_Hii wiki tunajielimisha zaidi kuhusu *Staff Management* (Usimamizi wa wafanyikazi). Asanti kwa wale tulijibu swali la jana kuhusu changamoto tunazopata kutoka kwa wafanyikazi._ Changamoto unazokutana nazo na wafanyikazi wako zinaweza kua zinatokana na taratibu unayotumia kuwapata hao wafanyikazi. Nataka tujibu hili swali , *Ikiwa Unataka kuajiri mfanyakazi au wafanyakazi ni taratibu gani au hatua gani unafuata / kuzingatia kila wakati au unaifanyaje katika biashara yako mwenyewe, jadili unavyofanya/uzoefu wako nasi hapa.* Unawatoa wapi wafanyi kazi wako, mfano unaletewa na rafiki? Unamtoa nyumbani kwenu? Unatoa tangazo la nafasi ya kazi?",sw,"_This week we learn more about * Staff Management * (Management of staff). Asanti for those we answered yesterday's question about the challenges we get from the workers. I want to answer this question, * If you want to hire an employee or employee what procedures or what steps do you follow / consider every time or what you do in your own business, discuss you where you do / your experience here. You give her home? You give an announcement of job space?"
This message was deleted,en,This message was deleted
"Hi, ukimaliza loan unaendelea na masoma niya muhimu pia .......",sw,"Hi, when you finish the Loan continues with the important readings too ......."
"Mfanyi kazi unaweza mpata popote bora cv yake is qualified to be in that business position na pia ako na iyo ujuzi wakuifanya hiyo kazi, Tena awe kama ashaawahi kuifanya hiyo biashara apo awali na mwisho mkielewana azie kuifanya kazi mpee rules zako sasa na mshahara wake ni ngapi,masaa ya kufungua na ya kufunga na kama ata utakua akipataa off",sw,"The worker can you get anywhere better its CV is Qualified to be in that business Position and also AKO and Iyo do that work, and be as if they ever make it a business APO originally and finally understanding to work to your Rules now and how much is his salary , hours of open and fast and as ATA will grow off"
Kwani mtu akilipa loan harudishiwa hizo doo,sw,For someone to pay Loan is not returned to doo
"When u are finding u must know yourself what kind of a person u are looking depending which business, u set some quiz for interview also to know he/she well.",en,"When u are finding u must know yourself what kind of a person u are looking depending which business, u set some quiz for interview also to know he/she well."
Very good Rachael,en,Very good Rachael
"Ukimaliza loan , kama unataka nyingine you inbox details zako nakuweka kwa list ya second loan.",sw,"When you finish the Loan, if you want another you inbox your Details I put you to the SECOND LOAN LOAN."
Good paul,en,Good paul
"You ask if they are of legal age, sound mind,how much they would like to earn,ask more questions to know them better, know where they live if it is far or near the job.",en,"You ask if they are of legal age, sound mind,how much they would like to earn,ask more questions to know them better, know where they live if it is far or near the job."
"Good morning everyone, hope you are all doing great, thanks for your contributions in yesterday's topic . Below are the steps of staffing or recruiting process. *Steps of staffing* 1. *Step 1:* Identify Vacancy and Evaluate Need 2. *Step 2:* Develop Position Description 3. *Step 3:* Develop Recruitment Plan 4. *Step 4:* Select Search Committee 5. *Step 5:* Post Position and Implement Recruitment Plan 6. *Step 6:* Review Applicants and Develop Short List 7. *Step 7:* Conduct Interviews 8. *Step 8:* Select Hire 9. *Step 9:* Finalize Recruitment",en,"Good morning everyone, hope you are all doing great, thanks for your contributions in yesterday's topic . Below are the steps of staffing or recruiting process. *Steps of staffing* 1. *Step 1:* Identify Vacancy and Evaluate Need 2. *Step 2:* Develop Position Description 3. *Step 3:* Develop Recruitment Plan 4. *Step 4:* Select Search Committee 5. *Step 5:* Post Position and Implement Recruitment Plan 6. *Step 6:* Review Applicants and Develop Short List 7. *Step 7:* Conduct Interviews 8. *Step 8:* Select Hire 9. *Step 9:* Finalize Recruitment"
"Today we will focus on importance of staffing . *Je, Kuna Umuhimu wa kuajiri watumishi au wafanyakazi katika biashara zetu?*",sw,TODAY WE WILL FOCUS ON IMPORTANCE OF STAFFING. * Is there a need to hire staff or workers in our business? *
"Umuhimu wakuajili wafanyi kazi, unaweza kuwa kazi imefuka zaidi kulika uwezo wao. Unawza kuwa uko na kazi ingine in different position Unaweza kuwa hauna iyo ujuzi hiyo biashara Unaweza kaa kado na biashara ili uone vyenye itaedelea kama italipa ama laa",sw,"The importance of the workers, you may be the most raised work. You are supposed to have another job in Different Position You may have no such business skills you can stay kado and trade to see itoedelea if it will pay or laa"
Good points Rachael,en,Good points Rachael
"Morning too, Staffing help the business to 1) *Scale as it grows* many "" hands on deck"". 2) helps to *creat time* for other important but beneficial activities to the owner. 3) It introduces new skills or competencies into your business eg you couldn't be good at marketing,organizing or even logistics but depending on who you employ it may turn to be an internal competitive advantage against your competitors. t enhances confidence especially in they eyes of public and stakeholders",en,"Morning too, Staffing help the business to 1) *Scale as it grows* many "" hands on deck"". 2) helps to *creat time* for other important but beneficial activities to the owner. 3) It introduces new skills or competencies into your business eg you couldn't be good at marketing,organizing or even logistics but depending on who you employ it may turn to be an internal competitive advantage against your competitors. t enhances confidence especially in they eyes of public and stakeholders"
People are asking for a second loan but for me I have not received even a cent for the first one what is wrong if to wait till when?. Please Alice do something.,en,People are asking for a second loan but for me I have not received even a cent for the first one what is wrong if to wait till when?. Please Alice do something.
"YES! if business is doing well and it will manage to pay salary, also stages of the business matter a lot eg, kiosk, duka, supa duka, self service, Supermarket, depending how work is exceeding.",en,"YES! if business is doing well and it will manage to pay salary, also stages of the business matter a lot eg, kiosk, duka, supa duka, self service, Supermarket, depending how work is exceeding."
"Yes, it's important to employ people to assist if the work is much for you or you have another job expecialy this covid 19 era where people had started doing business when their job's were temporary closed.",en,"Yes, it's important to employ people to assist if the work is much for you or you have another job expecialy this covid 19 era where people had started doing business when their job's were temporary closed."
"Good morning everyone, thanks for your contributions in yesterday's topic, some of *importance of staffing* includes the following. *a) Maximum and Efficient Utilization of Resources:* Staffing plays An important role in maximum and efficient utilization of resources. Because in every organization all the resources like, money, material and machine etc are utilized efficiently through specialized manpower and specialized manpower can only appoint in an organization through a good staffing system. *b) Reduces Cost of Production:* Staffing also plays an important role in reducing cost of production. Because it helps in appointing the right person at the right job, at the right time so that no wastage and mistakes can be made by efficient personnel during the production of products. *c) For Job Satisfaction* - Staffing is an important source for employee’s job satisfaction. Because by means of this system jobs are allocated among the personnel according to their ability, talent, aptitude and specializations which give employees more satisfaction regarding their job *d) For meeting Present and Future Needs of Employees*- Staffing is very important for fulfilling present as well as future needs of employees. Because it gives a clear picture to organization that in coming year how much positions will be vacant and new positions will be established *e) For maintaining Co-ordination among the Employees*- Staffing plays a prominent role in establishing unity and coordination among the employees. Because it assigns their jobs according to their ability, talent, aptitude and specializations which makes them involved in their tasks and ensure healthy and co-operative relationship among the employees",en,"Good morning everyone, thanks for your contributions in yesterday's topic, some of *importance of staffing* includes the following. *a) Maximum and Efficient Utilization of Resources:* Staffing plays An important role in maximum and efficient utilization of resources. Because in every organization all the resources like, money, material and machine etc are utilized efficiently through specialized manpower and specialized manpower can only appoint in an organization through a good staffing system. *b) Reduces Cost of Production:* Staffing also plays an important role in reducing cost of production. Because it helps in appointing the right person at the right job, at the right time so that no wastage and mistakes can be made by efficient personnel during the production of products. *c) For Job Satisfaction* - Staffing is an important source for employee’s job satisfaction. Because by means of this system jobs are allocated among the personnel according to their ability, talent, aptitude and specializations which give employees more satisfaction regarding their job *d) For meeting Present and Future Needs of Employees*- Staffing is very important for fulfilling present as well as future needs of employees. Because it gives a clear picture to organization that in coming year how much positions will be vacant and new positions will be established *e) For maintaining Co-ordination among the Employees*- Staffing plays a prominent role in establishing unity and coordination among the employees. Because it assigns their jobs according to their ability, talent, aptitude and specializations which makes them involved in their tasks and ensure healthy and co-operative relationship among the employees"
Ningependa kujua nani kwa duka lake anabiashara ya MPESA ...,sw,I would like to know who by his shop has a mpecas ...
🙋,und,🙋
*How many of you have Mpesa in their Shops or Dukas?*,en,*How many of you have Mpesa in their Shops or Dukas?*
Catherine ✋,en,Catherine ✋
I have mpesa,en,I have mpesa
*Wangapi wana MPESA*,sw,* How many have a supposed *
Jennifer🤚,en,Jennifer🤚
Mimi,zh,Mimi
"Catherine , Jennifer , eunice , ..... wengine mko wapi? Wenye *MPESA* inua mkono✋",sw,"Catherine, Jennifer, Eunice, ..... Others are you? * Mpesa * raise hand‖"
@254792172591 na wengine ......najua mko na mpesa na hamja Inua mkono✋,sw,@ 2547922172591 and the rest .....
*For those with MPESA second question*........,en,*For those with MPESA second question*........
Question 2 How much loan do you borrow in a year to keep your business running. Remember its all types of loans. Kwa mwaka unakopa kiasi kipi cha pesa to keep your business running......,en,Question 2 How much loan do you borrow in a year to keep your business running. Remember its all types of loans. Kwa mwaka unakopa kiasi kipi cha pesa to keep your business running......
1) *Do you have an Mpesa bussiness* 2) *How much loan do you borrow in a year to keep your business running? Remember its all types of loans.* *Kindly answer this urgently*,en,1) *Do you have an Mpesa bussiness* 2) *How much loan do you borrow in a year to keep your business running? Remember its all types of loans.* *Kindly answer this urgently*
@254726208494 @254719790185 @254721867789,und,@254726208494 @254719790185 @254721867789
Nani mwingine ana biashara ya mpesa?,sw,Who else has a good business?
Now this question goes to everyone ..... *How much loan do you borrow in an year to keep your bussiness running?*,en,Now this question goes to everyone ..... *How much loan do you borrow in an year to keep your bussiness running?*
Rachael,en,Rachael
150 200k,en,150 200k
Thanks Rachael for your response,en,Thanks Rachael for your response
Welcome,en,Welcome
100 120,und,100 120
Thanks beatrice for your response,en,Thanks beatrice for your response
Karibu,sw,Close
*Kwa mwaka unakopa loan kiasi ngani ya biashara yako ya Duka*,sw,* For the year you borrow LOAN amount of your shop business *
*kila mtu ajibu hili swali*,sw,* Everyone answers this question *
@254715001454 @254703750352 ningependa kuskia kutoka kwenu .....na wengine pia ....keep answers coming,sw,@ 254715001454 @ 254703750352 I would like to Kuskia from you ..... and others too .... Keep Answers Coming
@254797061024 @254720929067 @,und,@254797061024 @254720929067 @
@254722600937,und,@254722600937
50 80,und,50 80
"Ahante kwa majibu yako ,hannah",sw,"Ahante for your response, Hannah"
Welcome,en,Welcome
*hili swali nila muhimu sana ..... Majibu yenu yatatusaidia sana *Kwa mwaka unakopa loan kiasi ngani ya biashara yako ya Duka*,sw,* This question is very important ..... Your answers will help us so much * for the year you borrow the amount of your shop business *
It's ok,en,It's ok
Around Ksh.150 _180k especially for expansion.,en,Around Ksh.150 _180k especially for expansion.
"Ahsante kwa majibu yako, moses",sw,"Thank you for your response, Moses"
Karibu,sw,Close
Waiting majibu yenu.......,sw,Waiting your answers .......
Loan ya 150k_200k,ru,Loan ya 150k_200k
"Thanks for your response , linet",en,"Thanks for your response , linet"
50 100,und,50 100
"Ahsante kwa majibu yako, paul",sw,"Thank you for your response, Paul"
100k,en,100k
150_200k,en,150_200k
"Thanks for your response , fidelis",en,"Thanks for your response , fidelis"
"Thanks Catherine ,",en,"Thanks Catherine ,"
200k,en,200k
150k,en,150k
Thank Samuel,en,Thank Samuel
Thanks irene,en,Thanks irene
I think it depends with your shop how it's doing so you can even borrow more than 200k or lower than that..my opinion though🤷🏽‍♀,en,I think it depends with your shop how it's doing so you can even borrow more than 200k or lower than that..my opinion though🤷🏽‍♀
"Habari ya asubuhi.. natumai sote tuko salama. Jana niliuliza maswali mawili na bado sijapokea feedback kutoka kwa wengi wetu. *1.Ni wangapi wako na M-PESA kwa biashara zao?* *2.Kama mwanabishara mwenye duka, unakopa averagely pesa ngapi kwa mwaka ili kazi yako isimame.?* _♧[NB.;SWALI LA PILI NI KWA KILA MTU Sio kwa walio na M-PESA peke yao.]♧_",sw,"Good morning .. I hope we're all safe. Yesterday I asked two questions and still have not received feedback from most of us. * How many of your business and m-money for their business? * * 2. If you have a shopkeeper, how much does you have to averagely for a year so that your work is standing.? _ ♧ [NB.; The second question is for everyone is not for those with m-money alone.] _ _"
Between 300 to 500ksh,en,Between 300 to 500ksh
"```*THIS IS A GUIDE ON HOW TO PAY YOUR MSPARK LOAN* 1. The loan is payable within 2months (60days) after Disbursement. 2. Pay your loan in installments to avoid paying a lumpsum on the due date. This is because drawing a lumpsum from your business shall and will affect your business , and the truth is you may not have the whole amount on the last day. 3. Have a payment plan, divide the loan you receive by 60 days and see how much you can be paying per day. Examples 1. How to pay your loan in daily installments If you receive a loan amount of Ksh 20000, divide that by the number of days. (60 days which is equivalent to 2 months) (20000÷60)=335 With this plan you can be paying ksh 335 to Ksh 340 per day. 2. How to pay your loan in weekly installments. If you receive a loan amount of Ksh 20000, divide that by the number of weeks. (8 weeks which is equivalent to 2 months) (20000÷8)= 1250 With this plan you can be paying ksh 2500 per week. 3. How many days do you have left kabla deadline ifike. If you have received 20,000 and you have 1 month left (One month has 30 days) 20000÷30=670 Take the amount of loan you have kisha udevide by zile siku umebakisha ili uweze kulipa on time. Pay via Mpesa Paybill 4027143 Acc: Your phone number```",en,"```*THIS IS A GUIDE ON HOW TO PAY YOUR MSPARK LOAN* 1. The loan is payable within 2months (60days) after Disbursement. 2. Pay your loan in installments to avoid paying a lumpsum on the due date. This is because drawing a lumpsum from your business shall and will affect your business , and the truth is you may not have the whole amount on the last day. 3. Have a payment plan, divide the loan you receive by 60 days and see how much you can be paying per day. Examples 1. How to pay your loan in daily installments If you receive a loan amount of Ksh 20000, divide that by the number of days. (60 days which is equivalent to 2 months) (20000÷60)=335 With this plan you can be paying ksh 335 to Ksh 340 per day. 2. How to pay your loan in weekly installments. If you receive a loan amount of Ksh 20000, divide that by the number of weeks. (8 weeks which is equivalent to 2 months) (20000÷8)= 1250 With this plan you can be paying ksh 2500 per week. 3. How many days do you have left kabla deadline ifike. If you have received 20,000 and you have 1 month left (One month has 30 days) 20000÷30=670 Take the amount of loan you have kisha udevide by zile siku umebakisha ili uweze kulipa on time. Pay via Mpesa Paybill 4027143 Acc: Your phone number```"
<Media omitted>,en,<Media omitted>
150k 200k,en,150k 200k
180 200,und,180 200
100 150,und,100 150
